都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
38201,0000000001,愛媛県,松山市,松山市地域包括支援センター東・拓南,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾋｶﾞｼ･ﾀｸﾅﾝ,介護予防支援,松山市築山町5ｰ11,,33.837633,132.7776934,089-915-7760,,089-915-7763,,一般社団法人  松山市医師会,3800100012,,,,,
38201,0000000002,愛媛県,松山市,松山市地域包括支援センター東・拓南,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾋｶﾞｼ･ﾀｸﾅﾝ,介護予防ケアマネジメント,松山市築山町5ｰ11,,33.837633,132.7776934,089-915-7760,,089-915-7763,,一般社団法人  松山市医師会,3800100012,,,,,
38201,0000000003,愛媛県,松山市,松山市地域包括支援センター味酒・清水,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐｻｹ･ｼﾐｽﾞ,介護予防支援,松山市清水町3ｰ15,松山市清水小学校　北校舎１階,33.8520068,132.7670717,089-911-1135,,089-911-1140,,社会福祉法人  道真会,3800100020,,,,,
38201,0000000004,愛媛県,松山市,松山市地域包括支援センター味酒・清水,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐｻｹ･ｼﾐｽﾞ,介護予防ケアマネジメント,松山市清水町3ｰ15,松山市清水小学校　北校舎１階,33.8520068,132.7670717,089-911-1135,,089-911-1140,,社会福祉法人  道真会,3800100020,,,,,
38201,0000000005,愛媛県,松山市,松山市地域包括支援センター城北,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼﾞｮｳﾎｸ,介護予防支援,松山市堀江町甲338ｰ2,,33.8930519,132.7485499,089-911-8005,,089-911-8006,,医療法人  慈孝会,3800100053,,,,,
38201,0000000006,愛媛県,松山市,松山市地域包括支援センター城北,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼﾞｮｳﾎｸ,介護予防ケアマネジメント,松山市堀江町甲338ｰ2,,33.8930519,132.7485499,089-911-8005,,089-911-8006,,医療法人  慈孝会,3800100053,,,,,
38201,0000000007,愛媛県,松山市,松山市地域包括支援センター三津浜,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾂﾊﾏ,介護予防支援,松山市祓川2ｰ10-23,,33.8619525,132.7226459,089-953-1130,,089-953-1150,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3800100061,,,,,
38201,0000000008,愛媛県,松山市,松山市地域包括支援センター三津浜,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾂﾊﾏ,介護予防ケアマネジメント,松山市祓川2ｰ10-23,,33.8619525,132.7226459,089-953-1130,,089-953-1150,,社会福祉法人恩賜財団済生会支部愛媛県済生会,3800100061,,,,,
38201,0000000009,愛媛県,松山市,松山市地域包括支援センター生石・味生,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼｮｳｾｷ･ﾐﾌﾞ,介護予防支援,松山市別府町177-1,味生ふれあいセンター１階,33.8437383,132.726147,089-953-3888,,089-952-3890,,医療法人  ミネルワ会,3800100079,,,,,
38201,0000000010,愛媛県,松山市,松山市地域包括支援センター生石・味生,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼｮｳｾｷ･ﾐﾌﾞ,介護予防ケアマネジメント,松山市別府町177-1,味生ふれあいセンター１階,33.8437383,132.726147,089-953-3888,,089-952-3890,,医療法人  ミネルワ会,3800100079,,,,,
38201,0000000011,愛媛県,松山市,松山市地域包括支援センター小野・久米,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｵﾉ･ｸﾒ,介護予防支援,松山市鷹子町740鷹子ふれあい館2階,,33.8132583,132.8093487,089-970-3761,,089-975-7620,,医療法人財団  慈強会,3800100095,,,,,
38201,0000000012,愛媛県,松山市,松山市地域包括支援センター小野・久米,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｵﾉ･ｸﾒ,介護予防ケアマネジメント,松山市鷹子町740鷹子ふれあい館2階,,33.8132583,132.8093487,089-970-3761,,089-975-7620,,医療法人財団  慈強会,3800100095,,,,,
38201,0000000013,愛媛県,松山市,松山市地域包括支援センター石井・浮穴・久谷,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｲｼｲ･ｳｹﾅ･ｸﾀﾆ,介護予防支援,松山市東石井7ｰ3ｰ32,,33.807461,132.776507,089-957-0808,,089-957-3303,,社会福祉法人  白寿会,3800100111,,,,,
38201,0000000014,愛媛県,松山市,松山市地域包括支援センター石井・浮穴・久谷,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｲｼｲ･ｳｹﾅ･ｸﾀﾆ,介護予防ケアマネジメント,松山市東石井7ｰ3ｰ32,,33.807461,132.776507,089-957-0808,,089-957-3303,,社会福祉法人  白寿会,3800100111,,,,,
38201,0000000015,愛媛県,松山市,松山市地域包括支援センター中島,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾅｶｼﾞﾏ,介護予防支援,松山市中島大浦1626,,33.9747839,132.6299562,089-997-0454,,089-997-0454,,医療法人  友朋会,3800100137,,,,,
38201,0000000016,愛媛県,松山市,松山市地域包括支援センター中島地区,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾅｶｼﾞﾏﾁｸ,介護予防ケアマネジメント,松山市中島大浦1626,,33.9747839,132.6299562,089-997-0454,,089-997-0454,,医療法人  友朋会,3800100137,,,,,
38201,0000000017,愛媛県,松山市,松山市地域包括支援センター桑原・道後,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｸﾜﾊﾞﾗ･ﾄﾞｳｺﾞ,介護予防支援,松山市持田町1ｰ3ｰ30ｼｪｰﾝﾌﾞﾙﾝ持田103室,,33.8436943,132.7845763,089-993-5666,,089-993-5668,,社会福祉法人　平成会,3800100145,,,,,
38201,0000000018,愛媛県,松山市,松山市地域包括支援センター桑原・道後,ﾏﾂﾔﾏｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｸﾜﾊﾞﾗ･ﾄﾞｳｺﾞ,介護予防ケアマネジメント,松山市持田町1ｰ3ｰ30ｼｪｰﾝﾌﾞﾙﾝ持田103室,,33.8436943,132.7845763,089-993-5666,,089-993-5668,,社会福祉法人　平成会,3800100145,,,,,
