名称,名称かな,所在地,設置位置,経度,緯度
安居島集会所,あいじましゅうかいしょ,愛媛県松山市安居島甲268,玄関×1,132.7071662,34.07027739
青潮寮,あおしおりょう,愛媛県松山市長師562,舎監室×1,132.6263497,33.96406692
浅海公民館,あさなみこうみんかん,愛媛県松山市浅海原甲603-1,玄関ロビー×1,132.8012093,34.00881143
浅海小学校,あさなみしょうがっこう,愛媛県松山市浅海本谷甲728,体育館×2、職員室×1,132.8027553,34.00916413
浅海ふれあいセンター,あさなみふれあいせんたー,愛媛県松山市浅海原甲1-5,玄関×1,132.7948445,34.00870107
浅海保育園,あさなみほいくえん,愛媛県松山市浅海本谷甲719-1,事務室×1,132.8016813,34.01000708
旭中学校,あさひちゅうがっこう,愛媛県松山市下伊台町1105-1,職員室玄関×1、体育館×1、保健室×1,132.8014883,33.87362646
あさひ保育園,あさひほいくえん,愛媛県松山市吉藤2丁目7-1,事務室×1,132.7608571,33.86948381
朝美団地,あさみだんち,愛媛県松山市朝日ヶ丘2丁目1-50 外,1棟中央階段横壁×1,132.7426485,33.84807416
朝美保育園,あさみほいくえん,愛媛県松山市美沢2丁目7-39,事務室×1,132.7461341,33.85109143
あすなろ保育園,あすなろほいくえん,愛媛県松山市森松町921-1,事務所×1,132.7957592,33.79466194
朝生田ふれあいセンター,あそだふれあいせんたー,愛媛県松山市朝生田町6丁目3-32,玄関×1,132.7664781,33.821226
アユーラ・キッズルームあむぱむ,あゆーらきっずるーむあむぱむ,愛媛県松山市宮田町4-1 キスケBOX駐車場1F,玄関×1,132.7536252,33.84149841
アユーラ・キッズルームあむぱむ空港通り,あゆーらきっずるーむあむぱむくうこうどおり,愛媛県松山市高岡町127-7,保育室ロッカー×1,132.7248788,33.83086558
アユーラキッズルームあむぱむ3,あゆーらきっずるーむあむぱむすりー,愛媛県松山市樽味4丁目8-16,1階ロビーエレベーター前×1,132.7845962,33.8382119
アユーラ・キッズルームあむぱむ2,あゆーらきっずるーむあむぱむつー,愛媛県松山市日の出町10-80,玄関×1,132.7837617,33.83777952
新玉公民館,あらたまこうみんかん,愛媛県松山市千舟町8丁目69-4,玄関ロビー×1,132.7537941,33.8372716
新玉児童館,あらたまじどうかん,愛媛県松山市三番町6丁目4-20,1階事務室内×1,132.7594883,33.83801611
新玉小学校,あらたましょうがっこう,愛媛県松山市千舟町8丁目89,保健室×1、体育館×1、職員室×1,132.7543781,33.83630074
新玉第1児童クラブ,あらたまだいいちじどうくらぶ,愛媛県松山市千舟町8丁目89,児童クラブ内×1,132.7534451,33.83582946
粟井公民館,あわいこうみんかん,愛媛県松山市久保88,玄関ロビー×1,132.773913,33.93642325
粟井小学校,あわいしょうがっこう,愛媛県松山市常竹甲100,職員室×1、体育館×1、保健室×1,132.7756141,33.93439651
粟井保育園,あわいほいくえん,愛媛県松山市鹿峰63-2,事務室×1,132.7735333,33.93664675
生石団地,いくしだんち,愛媛県松山市生石町433,団地集会所×1,132.7400611,33.83457632
石井北小学校,いしいきたしょうがっこう,愛媛県松山市和泉南1丁目3-32,職員室×1、体育館×1、児童玄関前×1、保健室×1,132.7674743,33.81892859
石井北第1児童クラブ,いしいきただいいちじどうくらぶ,愛媛県松山市和泉南1丁目3-32,児童クラブ内×1,132.7667859,33.8181074
石井公民館,いしいこうみんかん,愛媛県松山市居相1丁目8-26,玄関ロビー×1,132.7754217,33.81088597
石井小学校,いしいしょうがっこう,愛媛県松山市東石井6丁目8-52,職員室×1、体育館×1、保健室×1,132.7769261,33.81099757
石井第1児童クラブ,いしいだいいちじどうくらぶ,愛媛県松山市東石井6丁目8-52,児童クラブ内×1,132.7757617,33.81059062
石井第3児童クラブ,いしいだいさんじどうくらぶ,愛媛県松山市東石井6丁目8-52,児童クラブ内×1,132.7770728,33.81160214
石井東小学校,いしいひがししょうがっこう,愛媛県松山市越智1丁目3-35,職員室×1、体育館×1、保健室×1,132.7876806,33.80799846
石井東第1児童クラブ,いしいひがしだいいちじどうくらぶ,愛媛県松山市越智1丁目2-4,児童クラブ内×1,132.7877492,33.80734903
石井東第3児童クラブ,いしいひがしだいさんじどうくらぶ,愛媛県松山市越智1丁目3-35,児童クラブ内×1,132.7864912,33.80770009
石井東第2児童クラブ,いしいひがしだいにじどうくらぶ,愛媛県松山市越智1丁目3-35,児童クラブ内×1,132.7871437,33.80731296
石井保育園,いしいほいくえん,愛媛県松山市西石井6丁目4-34,事務室×1,132.7750451,33.81259235
石井幼稚園,いしいようちえん,愛媛県松山市西石井6丁目4-29,職員室×1、東側昇降場×1,132.7742129,33.81235037
和泉団地,いずみだんち,愛媛県松山市和泉南5丁目5-1 外,団地集会所×1,132.7587632,33.8130772
和泉西団地,いずみにしだんち,愛媛県松山市和泉南6丁目9-1 外,団地集会所×1,132.7568605,33.81140901
和泉南保育園,いずみみなみほいくえん,愛媛県松山市和泉南1丁目12-10,職員室×1,132.7625985,33.81828616
伊台公民館,いだいこうみんかん,愛媛県松山市下伊台町1474-1,1階ホール×1,132.7995025,33.87900994
伊台児童クラブ,いだいじどうくらぶ,愛媛県松山市下伊台町1438-1,児童クラブ内×1,132.7982236,33.87893569
伊台小学校,いだいしょうがっこう,愛媛県松山市下伊台町1438-1,玄関×1、体育館×1、職員室×1,132.7982371,33.87811868
伊台保育園,いだいほいくえん,愛媛県松山市下伊台町1493-1,事務室×1,132.7991293,33.87798248
市坪団地,いちつぼだんち,愛媛県松山市市坪北1丁目19-1 外,団地集会所×1,132.7544429,33.81462329
市坪西団地,いちつぼにしだんち,愛媛県松山市市坪北2丁目16-1 外,団地集会所×1,132.7511655,33.8134482
